"id","comentarios"
"90","Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
"91","En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
"92","El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
"93","Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
"94","Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo."
"95","Todo muy bien, original sellado 🫶🏻."
"96","Producto excelente, es lo que esperaba!!."
"97","Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
"98","El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
"99","Es fabuloso y las funciones excelentes."
"100","Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
"101","Totalmente original y a un buen precio."
"102","Excelente."
"103","Excelente teléfono, original y nuevo."
"104","Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
"105","Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
"106","En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
"107","El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
"108","Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
"109","Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo."
"110","Todo muy bien, original sellado 🫶🏻."
"111","Producto excelente, es lo que esperaba!!."
"112","Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
"113","El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
"114","Es fabuloso y las funciones excelentes."
"115","Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
"116","Totalmente original y a un buen precio."
"117","Excelente."
"118","Excelente teléfono, original y nuevo."
"119","Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
"120","Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
"121","En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
"122","El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
"123","Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
"124","Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo."
"125","Todo muy bien, original sellado 🫶🏻."
"126","Producto excelente, es lo que esperaba!!."
"127","Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
"128","El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
"129","Es fabuloso y las funciones excelentes."
"130","Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
"131","Totalmente original y a un buen precio."
"132","Excelente."
"133","Excelente teléfono, original y nuevo."
"134","Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
"135","Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
"136","En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
"137","El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
"138","Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
"139","Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo."
"140","Todo muy bien, original sellado 🫶🏻."
"141","Producto excelente, es lo que esperaba!!."
"142","Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
"143","El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
"144","Es fabuloso y las funciones excelentes."
"145","Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
"146","Totalmente original y a un buen precio."
"147","Excelente."
"148","Excelente teléfono, original y nuevo."
"149","Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
"150","Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
"151","En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
"152","El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
"153","Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
"154","Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo."
"155","Todo muy bien, original sellado 🫶🏻."
"156","Producto excelente, es lo que esperaba!!."
"157","Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
"158","El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
"159","Es fabuloso y las funciones excelentes."
"160","Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
"161","Totalmente original y a un buen precio."
"162","Excelente."
"163","Excelente teléfono, original y nuevo."
"164","Hasta ahorita todo muy bien, pude configurarlo con mi anterior iphone y todo bien la caja venía sellada, y quise corroborar lo del código de si era originar y hasta ahorita todo bien."
"165","El producto tiene buena calidad pero la autonomía de la batería está reducida con respecto a generaciones anteriores ejemplo: si el iphone 14 te daba 9 horas de video este solo llega a 7 horas así que si consideran comprar el teléfono tomen en cuenta ello."
"166","El producto es original; si bien la caja vino un poco sucia, traía todos sus sellos de nuevo.
Hasta el momento todo funciona de maravilla; es muy fluido; su cámara de excelente calidad; y se agradece que ahora traiga conexión de carga usb c."
"167","Tenia yo el pro max 12, veo mejor acabados en mi viejo iphone. La camara tiene ligera mejora, pero no sustancial el oppo que compre para el trabajo esta casi igual🙄. En la repuesta del ios deja mucho que desear, a veces se traba un poco. Y bueno de la bronca de calentamiento si es perceptible.
La mejor unicamente lo del usb-c, pero si apple lanza una campaña para cambio en viejos modelos no les conviene tanto el cambio hasta el 16. Y esperemos mejoras en el ios a través de actulizaciones."
"168","Excelente tengo un 13 pro max. Y pesa menos el 15 pro max pero bueno es muy bueno el teléfono hay que sacarle provecho."
"169","Estoy encantado con ese teléfono. Tenía un iphone 14 pro max, y decidí cambiar a este por el usb c. Realmente no siento una gran diferencia, puesto tenía la gama más top del año pasado y este año la diferencia es mínima sin embargo, el usb c. Hace muchísima diferencia."
"170","Todo excelente!!."
"171","Que les puedo decir:.
Es un iphone (y actualmente, el mejor).
No cambia mucho con respecto del 14 pro máx, ni en el precio.
Bueno, bonito y caro.
El cambio de material de aluminio a titanio fue lo único que me hizo tomar la decisión de traer otro iphone ( si, traigo el 14, y 15 pro máx), el cambio de sistema operativo, la seguridad en sus aplicaciones, libre de virus (aunque hay muchas gratis, algunas si tienen un costo caro, que si lo usas para tu negocio: se paga solo. Y si es para ocio, pues está bien que te concientas.
Iphone es un signo de distinción y satisfacción personal que te hace sentir mejor, date un gusto, consiéntete, o sorprende a ese ser especial con un detalle increíble, que seguro le agradará y lo sorprenderás gratamente. Feliz compra y que lo disfruten al 100%."
"172","Todo muy bien. Tenía dudas pero no tengo ningún problema con el equipo."
"173","Excelente compra, equipo completamente original versión americana, no china. Batería larga duración, excelente cámara, vale la pena."
"174","Muy bieeen, mercado libre fue el único lugar donde pude conseguir el iphone en todos los lugares y tiendas estaba agotado 😪 pero creo que por el precio y por la bonificación de banamex estuvo bien adquirirlo aqui."
"175","Estoy conforme con mi teléfono, no se ha puesto lento ni se calienta, pase de 13 pro max a este y me gusta que no pesa, el otro llegaba el momento que era incómodo seguir teniéndolo en mano, aunque realmente el único cambio que veo es el zoom, la isla no es nada sorprendente ni útil."
"176","Todo muy bien, solo deberían de cuidar la estética de la caja! y muchas gracias es un excelente equipo!."
