id,idioma,label,comentarios
72,es,0,"Estoy conforme con mi teléfono, no se ha puesto lento ni se calienta, pase de 13 pro max a este y me gusta que no pesa, el otro llegaba el momento que era incómodo seguir teniéndolo en mano, aunque realmente el único cambio que veo es el zoom, la isla no es nada sorprendente ni útil."
7,es,1,"Todo muy bien, original sellado 🫶🏻."
29,es,0,"El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
73,es,1,"Todo muy bien, solo deberían de cuidar la estética de la caja! y muchas gracias es un excelente equipo!."
8,es,1,"Producto excelente, es lo que esperaba!!."
51,es,1,Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo.
74,es,0,"Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
30,es,1,"Excelente teléfono, original y nuevo."
9,es,1,"Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
10,es,1,Es fabuloso y las funciones excelentes.
52,es,1,"Todo muy bien, original sellado 🫶🏻."
11,es,0,"Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
75,es,0,"Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
31,es,0,"Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
53,es,1,"Producto excelente, es lo que esperaba!!."
76,es,0,"En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
12,es,1,Totalmente original y a un buen precio.
32,es,0,"Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
13,ro,unknown,Excelente.
77,es,0,"El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
54,es,1,"Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
33,es,0,"En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
55,es,1,Es fabuloso y las funciones excelentes.
78,es,1,"Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
14,es,0,"El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
34,es,0,"El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
56,es,0,"Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
79,es,1,Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo.
15,es,1,"Excelente teléfono, original y nuevo."
57,es,1,Totalmente original y a un buen precio.
80,es,1,"Todo muy bien, original sellado 🫶🏻."
35,es,1,"Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
16,es,0,"Es original el producto, chequé el número de serie y la etiqueta visible con luz uv y todo coincidía, como tal el dispositivo es una maravilla, lo recomiendo, el color titanio azul es precioso."
58,ro,unknown,Excelente.
36,es,1,Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo.
81,es,1,"Producto excelente, es lo que esperaba!!."
17,es,0,"Sin duda alguna la mejor compra, aún no lo configuro por falta de tiempo pero todo marcha bien el equipo es original, versión de méxico a3105, el empaque nada del otro mundo es mercado libre viene en una bolsa pero el dispositivo venía completamente cerrado. Recomendado si o si."
82,es,1,"Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
59,es,0,"El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
37,es,1,"Todo muy bien, original sellado 🫶🏻."
83,es,1,Es fabuloso y las funciones excelentes.
19,es,0,"El iphone, excelente calidad, no encontrado ninguna mala crítica.
Pero con respecto a su caja, pues si viene maltratada dañada, pero sellada, eso quiere decir que el iphone es totalmente nuevo.
Lo único que si no me gustó es que decían que era doble chip y solamente trae para uno y eso sería todo."
18,es,0,"En lo personal me gustó mucho, apenas tengo unas horas con el, no puedo opinar sobre el funcionamiento."
39,es,1,"Es un iphone, que mas puedo decir, su autonomía es increíble, aunque la verdad apple sobrevalora sus productos, estoy muy contento con mi compra y se nota un gran salto del 12 pro a este modelo."
38,es,1,"Producto excelente, es lo que esperaba!!."
61,es,0,"Hasta ahorita todo muy bien, pude configurarlo con mi anterior iphone y todo bien la caja venía sellada, y quise corroborar lo del código de si era originar y hasta ahorita todo bien."
84,es,0,"Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
60,es,1,"Excelente teléfono, original y nuevo."
40,es,1,Es fabuloso y las funciones excelentes.
20,es,1,"Tuve muchas dudas al principio pero al final fue una excelente compra pues recibí la versión nacional de aquí de méxico, la caja estaba integra cero maltratada, producto 100% original con 6 meses de música gratis, 3 meses de tv y 3 meses fitness…100% compatible con apple care. Sé que manejan diferentes versiones pero al menos yo tuve suerte de recibir la nacional, la batería dura mucho más que la de mi samsung y huawei anterior, estoy muy contento."
62,es,0,El producto tiene buena calidad pero la autonomía de la batería está reducida con respecto a generaciones anteriores ejemplo: si el iphone 14 te daba 9 horas de video este solo llega a 7 horas así que si consideran comprar el teléfono tomen en cuenta ello.
85,es,1,Totalmente original y a un buen precio.
41,es,0,"Todo súper bien, producto original, trae ranura para sim. Cambié de iphone xr a este modelo y sí es una gran diferencia, contento con mi compra."
21,es,1,Es muy hermoso. Los lentes de la cámara son gigantes 😍 es perfecto lo amo.
86,ro,unknown,Excelente.
63,es,1,"El producto es original; si bien la caja vino un poco sucia, traía todos sus sellos de nuevo.
Hasta el momento todo funciona de maravilla; es muy fluido; su cámara de excelente calidad; y se agradece que ahora traiga conexión de carga usb c."
42,es,1,Totalmente original y a un buen precio.
64,es,0,"Tenia yo el pro max 12, veo mejor acabados en mi viejo iphone. La camara tiene ligera mejora, pero no sustancial el oppo que compre para el trabajo esta casi igual🙄. En la repuesta del ios deja mucho que desear, a veces se traba un poco. Y bueno de la bronca de calentamiento si es perceptible.
La mejor unicamente lo del usb-c, pero si apple lanza una campaña para cambio en viejos modelos no les conviene tanto el cambio hasta el 16. Y esperemos mejoras en el ios a través de actulizaciones."
87,es,0,"El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
22,es,1,"Todo muy bien, original sellado 🫶🏻."
43,ro,unknown,Excelente.
65,es,1,Excelente tengo un 13 pro max. Y pesa menos el 15 pro max pero bueno es muy bueno el teléfono hay que sacarle provecho.
88,es,1,"Excelente teléfono, original y nuevo."
44,es,0,"El teléfono es sin duda original, versión usada en méxico (a3105), libre de fábrica, y por supuesto que con la garantía y cobertura de apple, hasta ahora todo bien y en cuanto a batería parece comportarse bien, sin duda muy buena compra."
66,es,0,"Estoy encantado con ese teléfono. Tenía un iphone 14 pro max, y decidí cambiar a este por el usb c. Realmente no siento una gran diferencia, puesto tenía la gama más top del año pasado y este año la diferencia es mínima sin embargo, el usb c. Hace muchísima diferencia."
